issue,remedy_id,remedy_name,detail
duplicate_across_fields,abrot,"Abrotanum","general + clinical_uses: শিরা ফোলা"
duplicate_across_fields,acet-ac,"Acetic Acid","keynotes + clinical_uses: ডায়াবেটিস"
duplicate_across_fields,agn,"Agnus Castus","keynotes + clinical_uses: দুধ শুকিয়ে যাওয়া"
duplicate_across_fields,ail,"Ailanthus Glandulosa","keynotes + clinical_uses: সেপটিক অবস্থা"
duplicate_across_fields,alst,"Alstonia Constricta","keynotes + clinical_uses: অতিরিক্ত স্তন্যদানের কুফল"
duplicate_across_fields,alum-sil,"Alumina Silicata","keynotes + clinical_uses: মৃগীসদৃশ আক্ষেপ"
duplicate_across_fields,anis,"Anisum Stellatum","keynotes + clinical_uses: পুরনো হাঁপানি"
duplicate_across_fields,anthr,"Anthracinum","keynotes + clinical_uses: পচন (গ্যাংগ্রিন)"
duplicate_across_fields,apoc-a,"Apocynum Androsæmifolium","general + clinical_uses: কৃমি"
duplicate_across_fields,ars-m,"Arsenicum Metallicum","keynotes + mental: একা থাকতে চায়"
duplicate_across_fields,asim,"Asimina Triloba","general + clinical_uses: ব্রণ"
duplicate_across_fields,aspar,"Asparagus Officinalis","keynotes + clinical_uses: শরীরে জল জমা"
duplicate_across_fields,astac,"Astacus Fluviatilis","general + clinical_uses: যকৃতের গোলযোগ ও জন্ডিস"
duplicate_across_fields,aur-i,"Aurum Iodatum","keynotes + clinical_uses: কণ্ঠনালির আক্ষেপ"
duplicate_across_fields,aur-i,"Aurum Iodatum","keynotes + clinical_uses: বৃদ্ধ বয়সের আংশিক পক্ষাঘাত"
duplicate_across_fields,aur-s,"Aurum Sulphuratum","keynotes + clinical_uses: গলগণ্ড"
duplicate_across_fields,bar-ac,"Baryta Acetica","keynotes + clinical_uses: বৃদ্ধদের চুলকানি"
duplicate_across_fields,bar-m,"Baryta Muriatica","keynotes + clinical_uses: বয়স্কদের অবক্ষয়"
duplicate_across_fields,bor-ac,"Boricum Acidum","keynotes + clinical_uses: রজোনিবৃত্তিকালের গরমের ঝলক"
duplicate_across_fields,brom,"Bromium","keynotes + clinical_uses: গলগণ্ড"
duplicate_across_fields,cadm,"Cadmium Sulphuratum","keynotes + clinical_uses: পাকস্থলীর ক্যান্সার"
duplicate_across_fields,calc-ac,"Calcarea Acetica","keynotes + clinical_uses: ঝিল্লিযুক্ত কষ্টকর ঋতুস্রাব"
duplicate_across_fields,calc-ac,"Calcarea Acetica","keynotes + clinical_uses: ক্যান্সারের ব্যথা"
duplicate_across_fields,calc-ar,"Calcarea Arsenicosa","keynotes + clinical_uses: কিডনির রোগ"
duplicate_across_fields,cann-i,"Cannabis Indica","keynotes + mental: পাগল হয়ে যাওয়ার ভয়"
duplicate_across_fields,carb-ac,"Carbolicum Acidum","keynotes + clinical_uses: সেপটিক অবস্থা"
duplicate_across_fields,carb-s,"Carboneum Sulphuratum","general + clinical_uses: স্নায়ুর অবক্ষয়"
duplicate_across_fields,cast-eq,"Castor Equi","general + clinical_uses: আঁচিল"
duplicate_across_fields,cedr,"Cedron","keynotes + clinical_uses: পর্যায়ক্রমিক জ্বর"
duplicate_across_fields,cent,"Centaurea Tagana","keynotes + clinical_uses: দৃষ্টি মিলিয়ে যাওয়া"
duplicate_across_fields,cent,"Centaurea Tagana","general + clinical_uses: দেশের জন্য মনকেমন"
duplicate_across_fields,cer-s,"Cereus Serpentaria","mental + clinical_uses: রাগের আক্রমণ"
duplicate_across_fields,cer-s,"Cereus Serpentaria","general + clinical_uses: পুরুষত্বহীনতা"
duplicate_across_fields,chlf,"Chloroformium","keynotes + clinical_uses: খিঁচুনি"
duplicate_across_fields,cimx,"Cimex","keynotes + clinical_uses: পর্যায়ক্রমিক জ্বর"
duplicate_across_fields,cit-l,"Citrus Limonum","keynotes + clinical_uses: সূর্যাঘাত"
duplicate_across_fields,cit-l,"Citrus Limonum","keynotes + clinical_uses: শ্বাসকষ্ট"
duplicate_across_fields,cit-l,"Citrus Limonum","keynotes + clinical_uses: প্লীহার প্রদাহ"
duplicate_across_fields,cocain-m,"Cocainum Muriaticum","mental + clinical_uses: অনিদ্রা"
duplicate_across_fields,coff-t,"Coffea Tosta","keynotes + clinical_uses: প্রসব-ব্যথা"
duplicate_across_fields,colchi,"Colchicinum","keynotes + clinical_uses: জ্বর"
duplicate_across_fields,cycl,"Cyclamen Europaeum","keynotes + clinical_uses: ঋতুস্রাবের সমস্যা"
duplicate_across_fields,cycl,"Cyclamen Europaeum","mental + clinical_uses: চাপা শোক"
duplicate_across_fields,der,"Derris Pinnata","keynotes + clinical_uses: চোখের পাতার আক্ষেপ"
duplicate_across_fields,dios,"Dioscorea Villosa","keynotes + clinical_uses: পিত্তথলির শূল"
duplicate_across_fields,dub,"Duboisinum","mental + clinical_uses: প্রলাপ"
duplicate_across_fields,elaps,"Elaps Corallinus","keynotes + mental: সাপের ভয়"
duplicate_across_fields,ferr-ar,"Ferrum Arsenicosum","keynotes + clinical_uses: কিডনির প্রদাহ"
duplicate_across_fields,ferr-m,"Ferrum Muriaticum","keynotes + clinical_uses: উদরাময় ও আমাশয়"
duplicate_across_fields,ferr-pic,"Ferrum Picricum","keynotes + clinical_uses: নাক দিয়ে রক্ত"
duplicate_across_fields,fic,"Ficus Religiosa","keynotes + clinical_uses: রক্তমিশ্রিত প্রস্রাব"
duplicate_across_fields,gad,"Gadus Morrhua","keynotes + clinical_uses: হাড়ের রোগ"
duplicate_across_fields,gent-c,"Gentiana Cruciata","keynotes + clinical_uses: হার্নিয়া"
duplicate_across_fields,haem,"Haematoxylum Campechianum","general + clinical_uses: উদরশূল"
duplicate_across_fields,ir-g,"Iris Germanica","keynotes + clinical_uses: উদরাময়"
duplicate_across_fields,jac,"Jacaranda Gualandai","keynotes + clinical_uses: গলার ঘা"
duplicate_across_fields,jac,"Jacaranda Gualandai","keynotes + clinical_uses: চোখের প্রদাহ"
duplicate_across_fields,jac,"Jacaranda Gualandai","general + clinical_uses: শ্বেতপ্রদর"
duplicate_across_fields,kali-br,"Kali Bromatum","keynotes + clinical_uses: মৃগীরোগ"
duplicate_across_fields,kali-br,"Kali Bromatum","mental + clinical_uses: স্মৃতিভ্রংশ"
duplicate_across_fields,kali-chl,"Kali Chloricum","keynotes + clinical_uses: কিডনির প্রদাহ"
duplicate_across_fields,kali-n,"Kali Nitricum","keynotes + clinical_uses: নাক দিয়ে রক্ত"
duplicate_across_fields,kali-n,"Kali Nitricum","general + clinical_uses: আমাশয়"
duplicate_across_fields,kiss,"Kissingen","keynotes + clinical_uses: গেঁটে বাত"
duplicate_across_fields,kiss,"Kissingen","keynotes + clinical_uses: আঁচিল ও কড়া"
duplicate_across_fields,kiss,"Kissingen","keynotes + clinical_uses: কানে শব্দ"
duplicate_across_fields,lac-f,"Lac Felinum","general + clinical_uses: অঞ্জনি"
duplicate_across_fields,lac-f,"Lac Felinum","general + clinical_uses: কষ্টকর ঋতুস্রাব"
duplicate_across_fields,lappa-a,"Lappa Arctium","general + clinical_uses: জরায়ু স্থানচ্যুতি"
duplicate_across_fields,lappa-m,"Lappa Major","general + clinical_uses: জরায়ু স্থানচ্যুতি"
duplicate_across_fields,lob,"Lobelia Inflata","keynotes + clinical_uses: তামাকের কুফল"
duplicate_across_fields,lob-s,"Lobelia Syphilitica","keynotes + clinical_uses: নাকের পিছনের সর্দি ও অ্যাডিনয়েড"
duplicate_across_fields,mag-p-a,"Magnetis Poli. Ambo","keynotes + clinical_uses: দাঁতব্যথা"
duplicate_across_fields,mag-p-a,"Magnetis Poli. Ambo","keynotes + clinical_uses: মলদ্বার বেরিয়ে আসা"
duplicate_across_fields,mag-aust,"Magnetis Polus Australis","general + clinical_uses: অতিরিক্ত ঋতুস্রাব"
duplicate_across_fields,malar,"Malaria Officinalis","keynotes + clinical_uses: যকৃৎ ও প্লীহার রোগ"
duplicate_across_fields,manc,"Mancinella","keynotes + mental: পাগল হয়ে যাওয়ার ভয়"
duplicate_across_fields,mang,"Manganum Aceticum","general + clinical_uses: রক্তশূন্যতা"
duplicate_across_fields,merc-ac,"Mercurius Aceticus","keynotes + clinical_uses: চ্যানকার ও ক্ষত"
duplicate_across_fields,merc-d,"Mercurius Dulcis","general + clinical_uses: প্রস্টেটের প্রদাহ"
duplicate_across_fields,morph,"Morphinum","keynotes + clinical_uses: কোষ্ঠকাঠিন্য"
duplicate_across_fields,naja,"Naja Tripudians","keynotes + clinical_uses: হৃদযন্ত্রের ভালভের রোগ"
duplicate_across_fields,naja,"Naja Tripudians","general + clinical_uses: হৃদস্পন্দনের অনিয়ম"
duplicate_across_fields,narcot,"Narcotinum","keynotes + clinical_uses: মূত্রথলির পক্ষাঘাত"
duplicate_across_fields,nat-ar,"Natrum Arsenicosum","keynotes + clinical_uses: সোরিয়াসিস"
duplicate_across_fields,nux-m,"Nux Moschata","general + clinical_uses: প্রচণ্ড পেট ফোলা"
duplicate_across_fields,olnd,"Oleander","keynotes + clinical_uses: হৃদযন্ত্রের দুর্বলতা"
duplicate_across_fields,ov,"Ovinine","keynotes + clinical_uses: ডিম্বাশয়ের সিস্ট"
duplicate_across_fields,pall,"Palladium","keynotes + clinical_uses: জরায়ু স্খলন"
duplicate_across_fields,palla,"Palladium Metallicum","keynotes + clinical_uses: জরায়ু স্খলন"
duplicate_across_fields,par,"Paris Quadrifolia","keynotes + mental: বকবক করে, দ্রুত কথা বলে"
duplicate_across_fields,passi,"Passiflora Incarnata","keynotes + clinical_uses: হুপিং কাশি"
duplicate_across_fields,ped,"Pediculus Capitis","keynotes + clinical_uses: উদরশূল ও উদরাময়"
duplicate_across_fields,per,"Persica","general + clinical_uses: পাকস্থলীর উত্তেজনা"
duplicate_across_fields,per,"Persica","general + clinical_uses: মোচ"
duplicate_across_fields,phal,"Phallus Impudicus","keynotes + clinical_uses: পাকস্থলী ও অন্ত্রের ব্যথা"
duplicate_across_fields,phal,"Phallus Impudicus","keynotes + clinical_uses: বমি"
duplicate_across_fields,phal,"Phallus Impudicus","keynotes + clinical_uses: মাথা ঘোরা"
duplicate_across_fields,phal,"Phallus Impudicus","keynotes + clinical_uses: আঠালো ঘাম"
duplicate_across_fields,pic-ac,"Picricum Acidum","general + clinical_uses: ফোড়া"
duplicate_across_fields,pilo,"Pilocarpinum","keynotes + clinical_uses: মাম্পস"
duplicate_across_fields,plan,"Plantago Major","keynotes + clinical_uses: বিছানায় প্রস্রাব"
duplicate_across_fields,plat-m,"Platinum Muriaticum","keynotes + clinical_uses: পেটে বায়ু"
duplicate_across_fields,pop-t,"Populus Tremuloides","keynotes + clinical_uses: প্রস্রাবে জ্বালা"
duplicate_across_fields,prun,"Prunus Spinosa","keynotes + clinical_uses: চোখের পক্ষ্মস্নায়ুশূল"
duplicate_across_fields,raph,"Raphanus Sativus","keynotes + clinical_uses: অস্ত্রোপচারের পরে পেট ফোলা"
duplicate_across_fields,rhus-g,"Rhus Glabra","keynotes + clinical_uses: দুর্গন্ধময় বায়ু"
duplicate_across_fields,rubi,"Rubia Tinctorum","keynotes + clinical_uses: প্লীহার রোগ"
duplicate_across_fields,rubi,"Rubia Tinctorum","keynotes + clinical_uses: হাড়ের রোগ"
duplicate_across_fields,sabal,"Sabal Serrulata","keynotes + mental: ঘুমাতে যাওয়ার ভয়"
duplicate_across_fields,sac-l,"Saccharum Lactis","keynotes + clinical_uses: শরীরের দুর্গন্ধ"
duplicate_across_fields,sang-n,"Sanguinarinum Nitricum","keynotes + clinical_uses: নাকের পলিপ"
duplicate_across_fields,sang-n,"Sanguinarinum Nitricum","general + clinical_uses: ইনফ্লুয়েঞ্জা"
duplicate_across_fields,sanic,"Sanicula Aqua","general + clinical_uses: শিশুর পুষ্টিহীনতা"
duplicate_across_fields,santin,"Santoninum","keynotes + clinical_uses: শিশুর রাতের কাশি"
duplicate_across_fields,scut,"Scutellaria Lateriflora","general + clinical_uses: হৃদয়ের উত্তেজনা"
duplicate_across_fields,sin-a,"Sinapis Alba","keynotes + clinical_uses: পেটে বায়ু"
duplicate_across_fields,sol-o,"Solanum Oleraceum","keynotes + clinical_uses: গ্রন্থি ফোলা"
duplicate_across_fields,sol-t-ae,"Solanum Tuberosum Ægrotans","keynotes + clinical_uses: খিঁচুনি ও ডলা ধরা"
duplicate_across_fields,sol-t-ae,"Solanum Tuberosum Ægrotans","keynotes + clinical_uses: তোতলামি"
duplicate_across_fields,sol-v,"Solidago Virg. aur","keynotes + clinical_uses: প্রস্টেট বড় হওয়া"
duplicate_across_fields,sol-v,"Solidago Virg. aur","general + clinical_uses: শ্বেতপ্রদর"
duplicate_across_fields,stel,"Stellaria Media","keynotes + clinical_uses: সোরিয়াসিস"
duplicate_across_fields,sym-r,"Symphoricarpus Racemosus","general + clinical_uses: কোষ্ঠকাঠিন্য"
duplicate_across_fields,teucr,"Teucrium Marum Verum","keynotes + clinical_uses: নাকের পলিপ"
duplicate_across_fields,thal,"Thallium Metallicum","keynotes + clinical_uses: নিম্নাঙ্গের পক্ষাঘাত"
duplicate_across_fields,trif-p,"Trifolium Pratense","keynotes + clinical_uses: ক্যান্সারের ধাতু"
duplicate_across_fields,trill,"Trillium Pendulum","keynotes + clinical_uses: মূত্রথলির সর্দি"
duplicate_across_fields,tus-p,"Tussilago Petasites","general + clinical_uses: জঠরনির্গমের রোগ"
duplicate_across_fields,uran,"Uranium Nitricum","keynotes + clinical_uses: প্রস্রাবে অ্যালবুমিন"
duplicate_across_fields,vac,"Vaccininum","keynotes + clinical_uses: হুপিং কাশি"
duplicate_across_fields,xan,"Xanthoxylum Fraxineum","keynotes + clinical_uses: সায়াটিকা"
duplicate_across_fields,xanth,"Xanthoxylum Fraxineum","keynotes + clinical_uses: সায়াটিকা"
duplicate_across_fields,yohim,"Yohimbinum","keynotes + clinical_uses: অতিরিক্ত ঋতুস্রাব"
duplicate_across_fields,zinc-m,"Zincum Muriaticum","general + clinical_uses: ডিপথেরিয়া"
duplicate_across_fields,zinc-ox,"Zincum Oxydatum","mental + clinical_uses: অনিচ্ছাকৃত হাসি"
duplicate_across_fields,zinc-ox,"Zincum Oxydatum","mental + clinical_uses: হাইপোকন্ড্রিয়া"
duplicate_across_fields,zinc-s,"Zincum Sulphuricum","general + clinical_uses: আক্ষেপ"
duplicate_across_fields,zinc-s,"Zincum Sulphuricum","general + clinical_uses: জরায়ুর রক্তস্রাব"
duplicate_across_fields,ziz,"Zizia Aurea","general + clinical_uses: হাঁপানি"
duplicate_across_fields,zizia,"Zizia Aurea","general + clinical_uses: হাঁপানি"
no_source_binding,aml-n,"Amyl Nitrite",""
no_source_binding,atro,"Atropinium",""
